FirstName,LastName,FullName,Age,Gender,Country,Residence,EntryExam,PrevEducation,StudyHours,Python,DB
Christina,Binger,Christina Binger,44,Female,Norway,Private,72.0,Masters,158,59.0,55.0
Alex,Walekhwa,Alex Walekhwa,60,Male,Kenya,Private,79.0,Diploma,150,60.0,75.0
Philip,Leo,Philip Leo,25,Male,Uganda,Sognsvann,55.0,High School,130,74.0,50.0
Shoni,Hlongwane,Shoni Hlongwane,22,Female,South Africa,Sognsvann,40.0,High School,120,75.85,44.0
Maria,Kedibone,Maria Kedibone,23,Female,South Africa,Sognsvann,65.0,High School,122,91.0,80.0
Hannah,Hansen,Hannah Hansen,25,Female,Norway,BI Residence,66.0,High School,130,88.0,59.0
Ole,Johansen,Ole Johansen,27,Male,Norway,BI Residence,90.0,Bachelors,156,80.0,91.0
Lars,Olsen,Lars Olsen,29,Male,Norway,BI Residence,89.0,Bachelors,160,85.0,60.0
Bjørn,Larsen,Bjørn Larsen,31,Male,Norway,BI Residence,88.0,Bachelors,156,80.0,89.0
Sofie,Jensen,Sofie Jensen,33,Female,Denmark,BI Residence,85.0,Bachelors,160,83.0,90.0
Emma,de Vries,Emma de Vries,34,Female,Netherlands,BI Residence,65.0,Bachelors,156,79.0,58.0
Solveig,Eliassen,Solveig Eliassen,36,Female,Norway,Private,70.0,Diploma,156,80.0,55.0
Odd,Knudsen,Odd Knudsen,38,Male,Norway,Private,91.0,Diploma,156,85.0,99.0
Grethe,Myklebust,Grethe Myklebust,40,Female,Norway,Private,77.0,Diploma,144,70.0,76.0
Marco,Rossi,Marco Rossi,42,Male,Italy,Private,80.0,Bachelors,152,75.0,77.0
Ingrid,Eide,Ingrid Eide,43,Female,Norway,Private,81.0,Bachelors,156,80.0,82.0
Hanna,Andresen,Hanna Andresen,45,Female,Norway,Private,85.0,Bachelors,156,87.0,82.0
Jorunn,Eliassen,Jorunn Eliassen,47,Female,Norway,Private,86.0,Bachelors,156,80.0,78.0
Sebastian,Kristiansen,Sebastian Kristiansen,48,Male,Norway,Private,75.0,Bachelors,148,76.0,73.0
Camilla,Mikkelsen,Camilla Mikkelsen,50,Female,Norway,Private,95.0,Masters,160,84.0,90.0
Prof,Birkeland,Prof Birkeland,22,Male,Norway,BI Residence,45.0,High School,116,33.0,30.0
Hanna,Isaksen,Hanna Isaksen,24,Female,Norway,BI Residence,50.0,High School,114,30.0,50.0
Kristine,Berg,Kristine Berg,26,Female,Norway,BI Residence,55.0,High School,140,61.0,56.0
Carmen,Rodríguez,Carmen Rodríguez,28,Female,Spain,BI Residence,78.0,Bachelors,156,80.0,55.0
Odd,Ahmed,Odd Ahmed,30,Male,Norway,BI Residence,82.0,Bachelors,156,82.0,65.0
Gunnar,Brekke,Gunnar Brekke,32,Male,Norway,BI Residence,81.0,Bachelors,158,85.0,83.0
Gerd,Bakken,Gerd Bakken,35,Female,Norway,BI Residence,92.0,Masters,160,87.0,88.0
Aisha,Nakaweesi,Aisha Nakaweesi,37,Female,Uganda,Private,55.0,Diploma,142,66.0,58.0
Kato,Muwanguzi,Kato Muwanguzi,39,Male,Uganda,Private,80.0,Bachelors,156,81.0,69.0
Nansubuga,Nakalema,Nansubuga Nakalema,41,Female,Uganda,Private,86.0,Bachelors,154,81.0,91.0
